X,Y,Name,description,Probability,DetectionId,ProductStartTime,ProductStopTime,Polarization,Beam,Length,Property,Type,Heading,ProductId
54.216516,-11.860127,FID: 1,,50.00,92582aab-0d08-4ad1-b22b-48bbd46d1edf,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,9.14,42.13, Value ,VESSEL,000.03,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
54.230195,-11.389922,FID: 2,,50.00,dd27c548-d87f-4aad-ba9c-767e43d4242f,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,20.43,41.56, Value ,VESSEL,356.68,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
53.93959,-12.517834,FID: 3,,100.00,02121d9c-8e33-438d-92c4-9775dfc5faca,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,30.24,171.06, Value ,VESSEL,032.48,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
55.496349,-11.959647,FID: 4,,100.00,0de14ecd-116d-41fa-9448-f9caa50253a5,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,8.38,42.24, Value ,VESSEL,321.02,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
51.598921,-12.911991,FID: 5,,100.00,b92d0b35-781f-4bd2-b742-0de5520b46e4,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,19.23,70.12, Value ,VESSEL,341.80,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
54.752841,-11.81654,FID: 6,,100.00,8825c069-58f0-4d89-a7bd-39861a664276,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,9.44,37.82, Value ,VESSEL,011.36,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
54.74697,-11.815779,FID: 7,,100.00,14889d4f-de2f-4623-9eb1-52488efd70ad,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,4.67,27.17, Value ,VESSEL,305.35,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
54.20954,-11.210788,FID: 9,,50.00,203b0e0b-2c15-4806-9607-c13c701bc71a,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,14.19,20.03, Value ,VESSEL,259.38,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
54.510828,-11.091585,FID: 10,,50.00,988cbfec-7345-4b07-9b47-5f064bab278a,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,14.19,20.02, Value ,VESSEL,073.45,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
55.229154,-10.730421,FID: 11,,75.00,b1f8afde-ecc6-4953-a326-3e3bb85590a9,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,10.35,22.12, Value ,VESSEL,075.64,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
54.24135,-10.520394,FID: 12,,100.00,f1266b42-a20e-4462-9dc9-6f5e60081649,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,20.45,148.32, Value ,VESSEL,182.36,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
51.85132,-10.665744,FID: 13,,50.00,ab3d1c2c-78a9-4007-9ea9-f6bcb2f4a6a6,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,6.07,20.87, Value ,VESSEL,350.72,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
51.125211,-10.71626,FID: 14,,100.00,e297967c-8484-441d-96bf-3963826d3f74,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,12.00,41.37, Value ,VESSEL,080.58,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
54.735243,-11.81561,FID: 15,,100.00,f679b85a-4520-4c88-9e3c-6018a1b09052,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,8.85,35.57, Value ,VESSEL,163.60,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
51.021577,-9.231462,FID: 0,,100.00,cc6ba72e-bdab-468d-8a21-bc90216884b3,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,18.10,48.28, Value ,VESSEL,073.54,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
54.295625,-11.376462,FID: 8,,50.00,79ecb4f1-c3d2-41bf-8d8f-6c942b478606,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,14.14,20.09, Value ,VESSEL,070.64,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
54.739816,-11.813349,FID: 16,,100.00,dc2178f9-3e1e-4a1f-98ca-cd14ba8ffcec,2019-10-06T14:59:35.885000Z,2019-10-06T15:00:49.990000Z,HH,7.51,23.86, Value ,VESSEL,338.88,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268
