X,Y,Name,description,Probability,DetectionId,ProductStartTime,ProductStopTime,Polarization,Beam,Length,Property,Type,Heading,ProductId
-146.872755,-7.125578,FID: 1,,75.00,e7a5b780-e3d7-4f49-abc4-45df3acad62e,2019-09-17T15:10:00.300000Z,2019-09-17T15:11:14.398000Z,HH,22.54,107.72, Value ,VESSEL,191.35,RS2_20190917_151000_0074_DVWF_HH_SCS_757762_9770_29818070
-147.155811,-7.224552,FID: 2,,75.00,edf245ef-7a21-47b9-a371-d294f119f03c,2019-09-17T15:10:00.300000Z,2019-09-17T15:11:14.398000Z,HH,20.68,121.60, Value ,VESSEL,202.61,RS2_20190917_151000_0074_DVWF_HH_SCS_757762_9770_29818070
-147.338405,-7.467999,FID: 3,,100.00,d8bc81ff-dc57-4571-b9d9-ab12735e05e4,2019-09-17T15:10:00.300000Z,2019-09-17T15:11:14.398000Z,HH,17.82,104.73, Value ,VESSEL,223.42,RS2_20190917_151000_0074_DVWF_HH_SCS_757762_9770_29818070
-145.5163,-8.584131,FID: 4,,100.00,5aca1ea0-f61d-4b2e-bdec-d23018c10926,2019-09-17T15:10:00.300000Z,2019-09-17T15:11:14.398000Z,HH,21.69,115.30, Value ,VESSEL,221.32,RS2_20190917_151000_0074_DVWF_HH_SCS_757762_9770_29818070
-145.473945,-8.63266,FID: 5,,100.00,c7422f50-41fc-4472-947d-5f7b9117064a,2019-09-17T15:10:00.300000Z,2019-09-17T15:11:14.398000Z,HH,15.75,122.02, Value ,VESSEL,028.95,RS2_20190917_151000_0074_DVWF_HH_SCS_757762_9770_29818070
-145.030708,-8.975624,FID: 6,,100.00,f6f3221d-d23a-44b7-a333-2ee1a263aa89,2019-09-17T15:10:00.300000Z,2019-09-17T15:11:14.398000Z,HH,20.16,100.49, Value ,VESSEL,326.31,RS2_20190917_151000_0074_DVWF_HH_SCS_757762_9770_29818070
-144.992347,-9.01069,FID: 7,,100.00,5b812061-55e1-450d-903c-f67044046e95,2019-09-17T15:10:00.300000Z,2019-09-17T15:11:14.398000Z,HH,25.65,111.15, Value ,VESSEL,348.05,RS2_20190917_151000_0074_DVWF_HH_SCS_757762_9770_29818070
-146.902776,-8.954153,FID: 9,,20.00,36cd3e5a-1225-4c63-8b5e-99db75f1e48d,2019-09-17T15:10:00.300000Z,2019-09-17T15:11:14.398000Z,HH,9.71,67.47, Value ,VESSEL,209.39,RS2_20190917_151000_0074_DVWF_HH_SCS_757762_9770_29818070
-145.667326,-9.279636,FID: 10,,100.00,9d993d59-01c5-4891-9104-ea7e99dd4323,2019-09-17T15:10:00.300000Z,2019-09-17T15:11:14.398000Z,HH,17.66,129.21, Value ,VESSEL,222.01,RS2_20190917_151000_0074_DVWF_HH_SCS_757762_9770_29818070
-144.566726,-9.618323,FID: 11,,100.00,5b1f5b53-fdc7-4a6e-9d53-e085a210963b,2019-09-17T15:10:00.300000Z,2019-09-17T15:11:14.398000Z,HH,25.14,155.99, Value ,VESSEL,015.72,RS2_20190917_151000_0074_DVWF_HH_SCS_757762_9770_29818070
-145.831411,-9.633107,FID: 12,,100.00,ec46a6ae-42b8-4eb0-b189-876de6dd8cf4,2019-09-17T15:10:00.300000Z,2019-09-17T15:11:14.398000Z,HH,14.80,108.86, Value ,VESSEL,222.69,RS2_20190917_151000_0074_DVWF_HH_SCS_757762_9770_29818070
-144.455449,-9.962989,FID: 13,,100.00,a846db8c-8e27-4880-86ae-ee20c1aca818,2019-09-17T15:10:00.300000Z,2019-09-17T15:11:14.398000Z,HH,14.58,96.47, Value ,VESSEL,057.76,RS2_20190917_151000_0074_DVWF_HH_SCS_757762_9770_29818070
